quarter,town,flat_type,price
2008-Q1,Tampines,1-room,0
2008-Q1,Tampines,2-room,0
2008-Q1,Tampines,3-room,228000
2008-Q1,Tampines,4-room,307500
2008-Q1,Tampines,5-room,380000
2008-Q1,Tampines,Executive,466500
2008-Q1,Toa Payoh,1-room,0
2008-Q1,Toa Payoh,2-room,-
2008-Q1,Toa Payoh,3-room,225000
2008-Q1,Toa Payoh,4-room,360000
2008-Q1,Toa Payoh,5-room,519300
2008-Q1,Toa Payoh,Executive,-
2008-Q1,Woodlands,1-room,0
2008-Q1,Woodlands,2-room,0
2008-Q1,Woodlands,3-room,172000
2008-Q1,Woodlands,4-room,254500
2008-Q1,Woodlands,5-room,311500
2008-Q1,Woodlands,Executive,395500
2008-Q1,Yishun,1-room,0
2008-Q1,Yishun,2-room,0
2008-Q1,Yishun,3-room,185000
2008-Q1,Yishun,4-room,230000
2008-Q1,Yishun,5-room,311000
2008-Q1,Yishun,Executive,-
2008-Q2,Ang Mo Kio,1-room,0
2008-Q2,Ang Mo Kio,2-room,-
2008-Q2,Ang Mo Kio,3-room,230000
2008-Q2,Ang Mo Kio,4-room,321000
2008-Q2,Ang Mo Kio,5-room,471900
2008-Q2,Ang Mo Kio,Executive,-
2008-Q2,Bedok,1-room,0
2008-Q2,Bedok,2-room,-
2008-Q2,Bedok,3-room,215000
2008-Q2,Bedok,4-room,290500
2008-Q2,Bedok,5-room,430000
2008-Q2,Bedok,Executive,-
2008-Q2,Bishan,1-room,0
2008-Q2,Bishan,2-room,0
2008-Q2,Bishan,3-room,275000
2008-Q2,Bishan,4-room,382500
2008-Q2,Bishan,5-room,515600
2008-Q2,Bishan,Executive,590000
2008-Q2,Bukit Batok,1-room,0
2008-Q2,Bukit Batok,2-room,0
2008-Q2,Bukit Batok,3-room,210000
2008-Q2,Bukit Batok,4-room,303000
2008-Q2,Bukit Batok,5-room,450000
2008-Q2,Bukit Batok,Executive,457500
2008-Q2,Bukit Merah,1-room,-
2008-Q2,Bukit Merah,2-room,-
2008-Q2,Bukit Merah,3-room,255000
2008-Q2,Bukit Merah,4-room,421400
2008-Q2,Bukit Merah,5-room,585000
2008-Q2,Bukit Merah,Executive,0
2008-Q2,Bukit Panjang,1-room,0
2008-Q2,Bukit Panjang,2-room,0
2008-Q2,Bukit Panjang,3-room,197000
2008-Q2,Bukit Panjang,4-room,281500
2008-Q2,Bukit Panjang,5-room,349500
2008-Q2,Bukit Panjang,Executive,420000
2008-Q2,Bukit Timah,1-room,0
2008-Q2,Bukit Timah,2-room,0
2008-Q2,Bukit Timah,3-room,-
2008-Q2,Bukit Timah,4-room,-
2008-Q2,Bukit Timah,5-room,-
2008-Q2,Bukit Timah,Executive,-
2008-Q2,Central,1-room,0
2008-Q2,Central,2-room,-
2008-Q2,Central,3-room,311000
2008-Q2,Central,4-room,-
2008-Q2,Central,5-room,0
2008-Q2,Central,Executive,0
2008-Q2,Choa Chu Kang,1-room,0
2008-Q2,Choa Chu Kang,2-room,0
2008-Q2,Choa Chu Kang,3-room,-
2008-Q2,Choa Chu Kang,4-room,282000
2008-Q2,Choa Chu Kang,5-room,342000
2008-Q2,Choa Chu Kang,Executive,415000
2008-Q2,Clementi,1-room,0
2008-Q2,Clementi,2-room,0
2008-Q2,Clementi,3-room,240000
2008-Q2,Clementi,4-room,365000
2008-Q2,Clementi,5-room,-
2008-Q2,Clementi,Executive,-
2008-Q2,Geylang,1-room,0
2008-Q2,Geylang,2-room,-
2008-Q2,Geylang,3-room,198000
2008-Q2,Geylang,4-room,346900
