id,Address,BuildingAddress,Community,CompletionDate,InspectionDate,PermitNumber,StickerNumber,URL,Ward
311,30 CITADEL FOREST PL NW,30 CITADEL FOREST PL NW,CITADEL,2014\/12\/05,2014\/10\/09,BP2014-03974,342,https:\/\/secondarysuites.calgary.ca,02
312,30 MONTROSE CR NE,30 MONTROSE CR NE,WINSTON HEIGHTS\/MOUNTVIEW,2015\/02\/27,2015\/02\/05,BP2014-06724,374,https:\/\/secondarysuites.calgary.ca,04
313,30 WALDEN CO SE,30 WALDEN CO SE,WALDEN,2011\/04\/05,2011\/04\/04,BP2010-14508,35,https:\/\/secondarysuites.calgary.ca,14
314,3020 13 AV SW,3020 13 AV SW,SHAGANAPPI,2013\/06\/21,2013\/06\/20,BP2013-04945,269,https:\/\/secondarysuites.calgary.ca,08
315,303 COVEPARK RI NE,303 COVEPARK RI NE,COVENTRY HILLS,2015\/03\/26,2015\/03\/04,BP2014-01730,331,https:\/\/secondarysuites.calgary.ca,03
316,303 HENDON DR NW,303 HENDON DR NW,HIGHWOOD,2012\/08\/03,2012\/08\/01,BP2011-15587,112,https:\/\/secondarysuites.calgary.ca,04
317,305 27 AV NE,305 27 AV NE,TUXEDO PARK,2014\/09\/22,2014\/08\/29,BP2013-16839,328,https:\/\/secondarysuites.calgary.ca,04
318,306 SKYVIEW SPRINGS GD NE,306 SKYVIEW SPRINGS GD NE,SKYVIEW RANCH,2012\/11\/23,2012\/11\/22,BP2012-02668,145,https:\/\/secondarysuites.calgary.ca,03
319,31 DEER PL SE,31 DEER PL SE,DEER RUN,2015\/10\/16,2015\/10\/16,BP2015-02474,490,https:\/\/secondarysuites.calgary.ca,14
320,31 HENDON PL NW,31 HENDON PL NW,HIGHWOOD,2015\/02\/20,2015\/02\/20,BP2014-04885,344,https:\/\/secondarysuites.calgary.ca,04
321,31 RIVERBIRCH RD SE,31 RIVERBIRCH RD SE,RIVERBEND,2015\/01\/16,2014\/11\/17,BP2014-10385,414,https:\/\/secondarysuites.calgary.ca,09
322,31 RIVERCREST WY SE,31 RIVERCREST WY SE,RIVERBEND,2016\/05\/10,2016\/05\/03,BP2015-12977,517,https:\/\/secondarysuites.calgary.ca,09
323,310 GREENFIELD RD NE,312 GREENFIELD RD NE,GREENVIEW,2012\/07\/20,2012\/07\/20,BP2012-07815,165,https:\/\/secondarysuites.calgary.ca,04
324,312 SPRINGBOROUGH WY SW,312 SPRINGBOROUGH WY SW,SPRINGBANK HILL,2013\/11\/01,2013\/11\/01,BP2013-09932,291,https:\/\/secondarysuites.calgary.ca,06
325,3127 42 ST SW,3127 42 ST SW,GLENBROOK,2015\/04\/29,2015\/04\/29,BP2015-00732,430,https:\/\/secondarysuites.calgary.ca,06
326,317 31 AV NE,317 31 AV NE,TUXEDO PARK,2016\/04\/22,2016\/04\/22,BP2015-15844,514,https:\/\/secondarysuites.calgary.ca,04
327,318 COSTA MESA CL NE,318 COSTA MESA CL NE,MONTEREY PARK,2014\/06\/13,2014\/06\/05,BP2014-02586,361,https:\/\/secondarysuites.calgary.ca,05
328,31G PRESTWICK ST SE,31G PRESTWICK ST SE,MCKENZIE TOWNE,2016\/03\/31,2016\/01\/27,BP2015-15519,501,https:\/\/secondarysuites.calgary.ca,12
329,3211 CENTRE ST NW,3211 CENTRE ST NW,TUXEDO PARK,2014\/09\/03,2014\/09\/03,BP2014-03118,354,https:\/\/secondarysuites.calgary.ca,09
330,323 48 AV NE,323 48 AV NE,GREENVIEW,2016\/03\/10,2016\/03\/01,BP2014-02259,503,https:\/\/secondarysuites.calgary.ca,04
331,3237 CEDARILLE DR SW,3237 CEDARILLE DR SW,CEDARBRAE,2016\/01\/28,2016\/01\/28,BP2015-12396,470,https:\/\/secondarysuites.calgary.ca,11
332,3243 BOULTON RD NW,3243 BOULTON RD NW,BRENTWOOD,2016\/09\/09,2016\/09\/09,BP2016-05530,582,https:\/\/secondarysuites.calgary.ca,01
333,327 COVENTRY CL NE,327 COVENTRY CL NE,COVENTRY HILLS,2013\/03\/12,2013\/03\/12,BP2013-00669,240,https:\/\/secondarysuites.calgary.ca,03
334,32R WALDEN CO SE,32 WALDEN CO SE,WALDEN,2013\/03\/26,2013\/03\/25,BP2012-13829,208,https:\/\/secondarysuites.calgary.ca,14
335,33 SKYVIEW SHORES CR NE,33 SKYVIEW SHORES CR NE,SKYVIEW RANCH,2013\/07\/19,2013\/07\/17,BP2012-07449,155,https:\/\/secondarysuites.calgary.ca,03
336,332 SADDLEMONT BV NE,332 SADDLEMONT BV NE,SADDLE RIDGE,2012\/07\/20,2012\/07\/20,BP2012-03451,147,https:\/\/secondarysuites.calgary.ca,03
337,335 EVERBROOK WY SW,335 EVERBROOK WY SW,EVERGREEN,2012\/05\/01,2012\/04\/30,BP2011-06006,62,https:\/\/secondarysuites.calgary.ca,13
338,34 PANTON BA NW,34 PANTON BA NW,PANORAMA HILLS,2016\/02\/12,2016\/02\/12,BP2016-00265,481,https:\/\/secondarysuites.calgary.ca,03
339,3412 EXSHAW RD NW,3412 EXSHAW RD NW,BANFF TRAIL,2014\/03\/31,2014\/03\/20,BP2013-00621,241,https:\/\/secondarysuites.calgary.ca,07
340,342R 7 AV NE,342 7 AV NE,CRESCENT HEIGHTS,2013\/10\/29,2013\/10\/29,BP2012-13662,194,https:\/\/secondarysuites.calgary.ca,07
341,3444 37 ST SW,3444 37 ST SW,KILLARNEY\/GLENGARRY,2012\/07\/31,2012\/07\/31,BP2012-05648,138,https:\/\/secondarysuites.calgary.ca,08
342,34R WALDEN CO SE,34 WALDEN CO SE,WALDEN,2015\/10\/09,2015\/10\/09,BP2012-13834,445,https:\/\/secondarysuites.calgary.ca,14
343,35 RIVERBIRCH CR SE,35 RIVERBIRCH CR SE,RIVERBEND,2015\/11\/02,2015\/10\/27,BP2015-07642,461,https:\/\/secondarysuites.calgary.ca,09
344,3507 7 AV SW,3507 7 AV SW,SPRUCE CLIFF,2013\/09\/10,2013\/06\/11,BP2013-03755,268,https:\/\/secondarysuites.calgary.ca,08
345,3507 CEDARILLE DR SW,3507 CEDARILLE DR SW,CEDARBRAE,2015\/02\/12,2015\/02\/12,BP2014-15209,378,https:\/\/secondarysuites.calgary.ca,11
346,351 ABERGALE DR NE,351 ABERGALE DR NE,ABBEYDALE,2012\/07\/31,2012\/07\/30,BP2012-00591,118,https:\/\/secondarysuites.calgary.ca,10
347,351 DEERVIEW DR SE,351 DEERVIEW DR SE,DEER RIDGE,2015\/01\/16,2015\/01\/16,BP2014-02975,353,https:\/\/secondarysuites.calgary.ca,14
348,3510 2 AV SW,3512 2 AV SW,SPRUCE CLIFF,2012\/02\/14,2012\/02\/13,BP2011-04118,64,https:\/\/secondarysuites.calgary.ca,08
349,3556 2 AV SW,3556 2 AV SW,SPRUCE CLIFF,2009\/12\/21,2009\/12\/09,BP2009-08153,4,https:\/\/secondarysuites.calgary.ca,08
350,356 SADDLEMONT BV NE,356 SADDLEMONT BV NE,SADDLE RIDGE,2012\/04\/06,2012\/02\/02,BP2011-14857,107,https:\/\/secondarysuites.calgary.ca,03
351,35G DIEPPE DR SW,35G DIEPPE DR SW,CFB - CURRIE,2014\/04\/16,2014\/04\/15,BP2013-06187,278,https:\/\/secondarysuites.calgary.ca,11
352,35G HONG KONG RD SW,35G HONG KONG RD SW,CFB - CURRIE,2013\/02\/22,2013\/02\/20,BP2012-08013,168,https:\/\/secondarysuites.calgary.ca,11
353,36 BERMUDA RD NW,36 BERMUDA RD NW,BEDDINGTON HEIGHTS,2011\/06\/21,2011\/06\/16,BP2010-11071,25,https:\/\/secondarysuites.calgary.ca,04
354,36 PANTEGO LI NW,36 PANTEGO LI NW,PANORAMA HILLS,2014\/05\/14,2014\/05\/14,BP2013-11736,299,https:\/\/secondarysuites.calgary.ca,03
355,36 TARARIDGE DR NE,36 TARARIDGE DR NE,TARADALE,2016\/02\/25,2016\/01\/29,BP2015-00057,485,https:\/\/secondarysuites.calgary.ca,03
356,3608 CENTRE B ST NW,3608 CENTRE B ST NW,HIGHLAND PARK,2016\/07\/13,2016\/06\/24,BP2015-15099,544,https:\/\/secondarysuites.calgary.ca,04
357,3616G KILKENNY RD SW,3616G KILKENNY RD SW,KILLARNEY\/GLENGARRY,2013\/06\/18,2013\/06\/06,BP2012-10566,178,https:\/\/secondarysuites.calgary.ca,08
358,3638 39 ST NE,3638 39 ST NE,WHITEHORN,2012\/08\/07,2012\/08\/07,BP2012-00366,115,https:\/\/secondarysuites.calgary.ca,05
359,365R SADDLEMONT BV NE,365 SADDLEMONT BV NE,SADDLE RIDGE,2013\/11\/25,2013\/11\/25,BP2012-07044,157,https:\/\/secondarysuites.calgary.ca,03
360,368 WHITLOCK WY NE,368 WHITLOCK WY NE,WHITEHORN,2012\/01\/12,2012\/01\/10,BP2011-10259,87,https:\/\/secondarysuites.calgary.ca,05
361,3712 8 AV SW,3712 8 AV SW,SPRUCE CLIFF,2012\/06\/01,2012\/06\/01,BP2011-13282,95,https:\/\/secondarysuites.calgary.ca,08
362,3720 47 ST SW,3720 47 ST SW,GLENBROOK,2015\/07\/31,2015\/07\/31,BP2015-00446,393,https:\/\/secondarysuites.calgary.ca,06
363,3731 44 AV NE,3731 44 AV NE,WHITEHORN,2016\/09\/20,2016\/09\/20,BP2016-04113,588,https:\/\/secondarysuites.calgary.ca,05
364,3736G 3 AV SW,3736G 3 AV SW,SPRUCE CLIFF,2015\/05\/05,2015\/04\/28,BP2014-14182,391,https:\/\/secondarysuites.calgary.ca,08
365,38 CRANBERRY CL SE,38 CRANBERRY CL SE,CRANSTON,2016\/01\/04,2016\/01\/04,BP2015-14270,472,https:\/\/secondarysuites.calgary.ca,12
366,38 TARACOVE WY NE,38 TARACOVE WY NE,TARADALE,2013\/01\/22,2013\/01\/15,BP2012-11154,183,https:\/\/secondarysuites.calgary.ca,03
367,38 WALDEN CO SE,38 WALDEN CO SE,WALDEN,2013\/05\/14,2013\/05\/13,BP2012-17007,229,https:\/\/secondarysuites.calgary.ca,14
368,39 SADDLELAKE HE NE,39 SADDLELAKE HE NE,SADDLE RIDGE,2016\/07\/06,2016\/07\/06,BP2015-06837,549,https:\/\/secondarysuites.calgary.ca,03
369,3911B CENTRE A ST NE,3911 CENTRE A ST NE,HIGHLAND PARK,2012\/03\/16,2012\/03\/14,BP2011-00093,40,https:\/\/secondarysuites.calgary.ca,04
370,397 HARVEST ROSE CI NE,397 HARVEST ROSE CI NE,HARVEST HILLS,2016\/08\/05,2016\/08\/05,BP2013-17131,584,https:\/\/secondarysuites.calgary.ca,03
371,3G BENY-SUR-MER RD SW,3G BENY-SUR-MER RD SW,CFB - CURRIE,2012\/01\/31,2012\/01\/30,BP2011-05875,84,https:\/\/secondarysuites.calgary.ca,11
372,3G DIEPPE DR SW,3G DIEPPE DR SW,CFB - CURRIE,2013\/12\/20,2013\/12\/19,BP2013-03731,274,https:\/\/secondarysuites.calgary.ca,11
373,4 WHITEFIELD CL NE,4 WHITEFIELD CL NE,WHITEHORN,2013\/03\/01,2013\/02\/28,BP2012-07810,166,https:\/\/secondarysuites.calgary.ca,05
374,40 ERIN RIDGE RD SE,40 ERIN RIDGE RD SE,ERIN WOODS,2014\/03\/31,2014\/03\/11,BP2013-15568,307,https:\/\/secondarysuites.calgary.ca,09
375,407G 37 ST SW,407G 37 ST SW,SPRUCE CLIFF,2011\/12\/20,2011\/12\/19,BP2009-04382,2,https:\/\/secondarysuites.calgary.ca,08
376,408 21 AV NE,408 21 AV NE,WINSTON HEIGHTS\/MOUNTVIEW,2016\/08\/25,2016\/08\/25,BP2016-06930,576,https:\/\/secondarysuites.calgary.ca,04
377,41 RIVERWOOD CR SE,41 RIVERWOOD CR SE,RIVERBEND,2016\/02\/02,2016\/02\/02,BP2015-13993,465,https:\/\/secondarysuites.calgary.ca,09
378,4107 37 ST SW,4107 37 ST SW,GLAMORGAN,2015\/07\/24,2015\/07\/24,BP2015-00204,398,https:\/\/secondarysuites.calgary.ca,11
379,4123R CHARLESWOOD DR NW,4123 CHARLESWOOD DR NW,BRENTWOOD,2016\/04\/20,2016\/03\/29,BP2016-01594,496,https:\/\/secondarysuites.calgary.ca,01
380,412R EVERBROOK WY SW,412 EVERBROOK WY SW,EVERGREEN,2012\/01\/19,2012\/01\/18,BP2011-08449,63,https:\/\/secondarysuites.calgary.ca,13
381,416 38 ST SW,416 38 ST SW,SPRUCE CLIFF,2013\/10\/01,2013\/09\/30,BP2011-14549,105,https:\/\/secondarysuites.calgary.ca,08
382,417 EVANSGLEN DR NW,419 EVANSGLEN DR NW,EVANSTON,2016\/07\/15,2016\/07\/15,BP2016-02943,553,https:\/\/secondarysuites.calgary.ca,02
383,4201 8 AV SW,4203 8 AV SW,ROSSCARROCK,2012\/07\/10,2012\/07\/09,BP2010-12724,26,https:\/\/secondarysuites.calgary.ca,08
384,421 16 ST NW,421 16 ST NW,HILLHURST,2014\/05\/15,2014\/05\/15,BP2013-01587,244,https:\/\/secondarysuites.calgary.ca,07
385,422 TARALAKE WY NE,422 TARALAKE WY NE,TARADALE,2013\/01\/29,2013\/01\/29,BP2012-00560,117,https:\/\/secondarysuites.calgary.ca,03
386,428 8A ST NE,428 8A ST NE,BRIDGELAND\/RIVERSIDE,2009\/12\/01,2009\/11\/25,BP2009-09984,5,https:\/\/secondarysuites.calgary.ca,04
387,42G QUARRY WY SE,42G QUARRY WY SE,DOUGLASDALE\/GLEN,2010\/03\/02,2010\/02\/25,BP2009-11596,7,https:\/\/secondarysuites.calgary.ca,12
388,42R WALDEN CO SE,42 WALDEN CO SE,WALDEN,2013\/07\/05,2013\/07\/05,BP2013-02672,250,https:\/\/secondarysuites.calgary.ca,14
389,43 BUTLER CR NW,43 BUTLER CR NW,BRENTWOOD,2015\/09\/03,2015\/09\/03,BP2015-06496,431,https:\/\/secondarysuites.calgary.ca,01
390,43 RIVERBROOK CO SE,43 RIVERBROOK CO SE,RIVERBEND,2015\/02\/25,2015\/02\/03,BP2014-04013,349,https:\/\/secondarysuites.calgary.ca,09
391,43 SKYVIEW POINT CM NE,41 SKYVIEW POINT CM NE,SKYVIEW RANCH,2012\/12\/18,2012\/12\/18,BP2012-11574,187,https:\/\/secondarysuites.calgary.ca,03
392,43 TARAGLEN RD NE,43 TARAGLEN RD NE,TARADALE,2014\/11\/03,2014\/11\/03,BP2014-06807,365,https:\/\/secondarysuites.calgary.ca,03
393,430G 32 AV NE,430G 32 AV NE,WINSTON HEIGHTS\/MOUNTVIEW,2015\/01\/12,2014\/12\/19,BP2013-13248,296,https:\/\/secondarysuites.calgary.ca,09
394,4328 BRENTWOOD GR NW,4328 BRENTWOOD GR NW,BRENTWOOD,2016\/06\/23,2016\/06\/23,BP2016-00336,543,https:\/\/secondarysuites.calgary.ca,01
395,4343 2 ST NW,4343 2 ST NW,HIGHLAND PARK,2012\/09\/18,2012\/09\/17,BP2012-01951,130,https:\/\/secondarysuites.calgary.ca,04
396,4344 BRENTWOOD GR NW,4344 BRENTWOOD GR NW,BRENTWOOD,2016\/04\/21,2016\/04\/21,BP2016-02376,513,https:\/\/secondarysuites.calgary.ca,01
397,439 COPPERPOND BV SE,439 COPPERPOND BV SE,COPPERFIELD,2015\/12\/09,2015\/12\/08,BP2015-05264,451,https:\/\/secondarysuites.calgary.ca,12
398,43G ELGIN MEADOWS RD SE,43G ELGIN MEADOWS RD SE,MCKENZIE TOWNE,2011\/12\/05,2011\/11\/02,BP2011-08583,69,https:\/\/secondarysuites.calgary.ca,12
399,440 TRAFFORD DR NW,440 TRAFFORD DR NW,THORNCLIFFE,2011\/12\/05,2011\/12\/02,BP2011-07279,67,https:\/\/secondarysuites.calgary.ca,04
400,4410 8 AV SW,4412 8 AV SW,ROSSCARROCK,2012\/09\/21,2012\/09\/21,BP2011-10603,88,https:\/\/secondarysuites.calgary.ca,08
401,4416R 33 AV SW,4416 33 AV SW,GLENBROOK,2013\/03\/15,2013\/03\/13,BP2012-11806,198,https:\/\/secondarysuites.calgary.ca,06
402,446 33 AV NW,446 33 AV NW,HIGHLAND PARK,2015\/05\/25,2015\/04\/30,BP2015-00104,395,https:\/\/secondarysuites.calgary.ca,04
403,45 TUSCANY VALLEY PA NW,45 TUSCANY VALLEY PA NW,TUSCANY,2015\/05\/27,2015\/05\/26,BP2015-01985,426,https:\/\/secondarysuites.calgary.ca,01
404,450 TARALAKE WY NE,450 TARALAKE WY NE,TARADALE,2013\/07\/19,2013\/07\/17,BP2012-04615,152,https:\/\/secondarysuites.calgary.ca,03
405,4504R 70 ST NW,4504 70 ST NW,BOWNESS,2015\/08\/10,2015\/08\/10,BP2012-12600,202,https:\/\/secondarysuites.calgary.ca,01
406,4519 EDMONTON TR NE,4519 EDMONTON TR NE,GREENVIEW,2012\/09\/21,2012\/09\/19,BP2011-07141,72,https:\/\/secondarysuites.calgary.ca,04
407,4520 WORCESTER DR SW,4520 WORCESTER DR SW,WILDWOOD,2011\/07\/05,2011\/06\/30,BP2011-00625,45,https:\/\/secondarysuites.calgary.ca,08
408,46 WALDEN CO SE,46 WALDEN CO SE,WALDEN,2013\/12\/20,2013\/12\/19,BP2013-13675,305,https:\/\/secondarysuites.calgary.ca,14
409,4625B MONTEREY AV NW,4625B MONTEREY AV NW,MONTGOMERY,2016\/02\/23,2016\/02\/23,BP2015-04302,483,https:\/\/secondarysuites.calgary.ca,01
410,4643R GREENHILL CR NE,4643 GREENHILL CR NE,GREENVIEW,2015\/12\/10,2015\/12\/10,BP2015-03957,458,https:\/\/secondarysuites.calgary.ca,04
411,46G HONG KONG RD SW,46G HONG KONG RD SW,CFB - CURRIE,2014\/04\/02,2014\/04\/01,BP2012-14569,188,https:\/\/secondarysuites.calgary.ca,11
412,46R CRANWELL SQ SE,46 CRANWELL SQ SE,CRANSTON,2016\/07\/26,2016\/07\/26,BP2016-02252,558,https:\/\/secondarysuites.calgary.ca,12
413,47 HONG KONG RD SW,47 HONG KONG RD SW,CFB - CURRIE,2012\/11\/02,2012\/10\/31,BP2012-01751,125,https:\/\/secondarysuites.calgary.ca,11
414,4723 21A ST SW,4723 21A ST SW,GARRISON WOODS,2012\/03\/23,2012\/03\/23,BP2011-09024,85,https:\/\/secondarysuites.calgary.ca,11
415,476 CANTERBURY DR SW,476 CANTERBURY DR SW,CANYON MEADOWS,2016\/08\/23,2016\/08\/23,BP2016-07367,573,https:\/\/secondarysuites.calgary.ca,13
416,477 SADDLELAKE DR NE,477 SADDLELAKE DR NE,SADDLE RIDGE,2014\/12\/23,2014\/12\/09,BP2014-10001,408,https:\/\/secondarysuites.calgary.ca,03
417,47G BENY-SUR-MER RD SW,47G BENY-SUR-MER RD SW,CFB - CURRIE,2014\/01\/24,2014\/01\/24,BP2013-00987,243,https:\/\/secondarysuites.calgary.ca,11
418,47G ELGIN MEADOWS RD SE,47G ELGIN MEADOWS RD SE,MCKENZIE TOWNE,2014\/01\/10,2014\/01\/09,BP2012-11265,184,https:\/\/secondarysuites.calgary.ca,12
419,48 CRANWELL GR SE,48 CRANWELL GR SE,CRANSTON,2016\/06\/24,2016\/05\/31,BP2016-01281,535,https:\/\/secondarysuites.calgary.ca,12
420,48 HARVEST OAK WY NE,48 HARVEST OAK WY NE,HARVEST HILLS,2015\/09\/01,2015\/09\/01,BP2014-18688,403,https:\/\/secondarysuites.calgary.ca,03
421,48 KINLEA LI NW,48 KINLEA LI NW,KINCORA,2015\/06\/29,2015\/06\/26,BP2014-13067,384,https:\/\/secondarysuites.calgary.ca,02
422,4812 1 ST NW,4812 1 ST NW,THORNCLIFFE,2016\/07\/07,2016\/07\/07,BP2015-16237,550,https:\/\/secondarysuites.calgary.ca,04
423,48G HONG KONG RD SW,48G HONG KONG RD SW,CFB - CURRIE,2012\/07\/24,2012\/07\/24,BP2011-14686,106,https:\/\/secondarysuites.calgary.ca,11
424,49 MARTINDALE CR NE,49 MARTINDALE CR NE,MARTINDALE,2014\/05\/01,2014\/04\/14,BP2013-01825,245,https:\/\/secondarysuites.calgary.ca,05
425,49 SADDLECREST PA NE,49 SADDLECREST PA NE,SADDLE RIDGE,2013\/08\/13,2013\/08\/12,BP2012-12948,193,https:\/\/secondarysuites.calgary.ca,03
426,5 AUBURN GLEN GD SE,5 AUBURN GLEN GD SE,AUBURN BAY,2013\/03\/05,2013\/03\/05,BP2012-05776,150,https:\/\/secondarysuites.calgary.ca,12
427,5 ERIN WOODS PL SE,7 ERIN WOODS PL SE,ERIN WOODS,2013\/07\/30,2013\/07\/29,BP2012-12888,199,https:\/\/secondarysuites.calgary.ca,09
428,5026G ELGIN AV SE,5026G ELGIN AV SE,MCKENZIE TOWNE,2011\/08\/16,2011\/08\/15,BP2009-05612,581,https:\/\/secondarysuites.calgary.ca,12
429,5038G ELGIN AV SE,5038G ELGIN AV SE,MCKENZIE TOWNE,2012\/02\/14,2012\/02\/13,BP2011-06316,78,https:\/\/secondarysuites.calgary.ca,12
430,50R WALDEN CO SE,50 WALDEN CO SE,WALDEN,2013\/07\/16,2013\/05\/23,BP2012-17361,236,https:\/\/secondarysuites.calgary.ca,14
431,51 SADDLELAKE PL NE,51 SADDLELAKE PL NE,SADDLE RIDGE,2014\/02\/24,2014\/02\/24,BP2013-03597,252,https:\/\/secondarysuites.calgary.ca,03
432,5116 17 AV NW,5116 17 AV NW,MONTGOMERY,2015\/03\/13,2015\/03\/13,BP2014-14109,379,https:\/\/secondarysuites.calgary.ca,01
433,515 PANATELLA SQ NW,515 PANATELLA SQ NW,PANORAMA HILLS,2014\/04\/30,2014\/04\/30,BP2014-02804,350,https:\/\/secondarysuites.calgary.ca,03
434,51G HONG KONG RD SW,51G HONG KONG RD SW,CFB - CURRIE,2013\/07\/09,2013\/07\/08,BP2012-13593,196,https:\/\/secondarysuites.calgary.ca,11
435,52 COVEPARK PL NE,52 COVEPARK PL NE,COVENTRY HILLS,2015\/05\/25,2015\/05\/22,BP2014-18901,392,https:\/\/secondarysuites.calgary.ca,03
436,52 EVERGLEN CL SW,52 EVERGLEN CL SW,EVERGREEN,2012\/03\/30,2012\/03\/29,BP2011-14836,108,https:\/\/secondarysuites.calgary.ca,13
437,5227 23 AV NW,5227 23 AV NW,MONTGOMERY,2014\/12\/19,2014\/12\/19,BP2014-03080,356,https:\/\/secondarysuites.calgary.ca,01
438,525 CRANFORD DR SE,525 CRANFORD DR SE,CRANSTON,2014\/06\/19,2014\/06\/13,BP2014-01599,340,https:\/\/secondarysuites.calgary.ca,12
439,5266 MARTIN CROSSING DR NE,5266 MARTIN CROSSING DR NE,MARTINDALE,2013\/10\/29,2013\/10\/28,BP2012-14438,192,https:\/\/secondarysuites.calgary.ca,05
440,527 33 AV NE,527 33 AV NE,WINSTON HEIGHTS\/MOUNTVIEW,2016\/08\/29,2016\/08\/29,BP2016-06125,589,https:\/\/secondarysuites.calgary.ca,04
441,527 42 AV NW,527 42 AV NW,HIGHWOOD,2015\/10\/09,2015\/10\/09,BP2009-10215,435,https:\/\/secondarysuites.calgary.ca,04
442,53 MARQUIS PL SE,53 MARQUIS PL SE,MAHOGANY,2015\/09\/04,2015\/08\/27,BP2015-05362,432,https:\/\/secondarysuites.calgary.ca,12
443,532R 11 AV NE,532 11 AV NE,RENFREW,2012\/10\/07,2012\/10\/05,BP2012-02180,132,https:\/\/secondarysuites.calgary.ca,04
444,54 HAVENHURST CR SW,54 HAVENHURST CR SW,HAYSBORO,2016\/02\/17,2016\/02\/08,BP2015-13161,478,https:\/\/secondarysuites.calgary.ca,11
445,54 WALDEN CO SE,54 WALDEN CO SE,WALDEN,2013\/10\/25,2013\/08\/16,BP2013-02647,254,https:\/\/secondarysuites.calgary.ca,14
446,549 CRANFORD DR SE,549 CRANFORD DR SE,CRANSTON,2015\/07\/01,2015\/06\/30,BP2015-05113,405,https:\/\/secondarysuites.calgary.ca,12
447,55 ABERDARE CR NE,55 ABERDARE CR NE,ABBEYDALE,2011\/11\/10,2011\/11\/09,BP2011-02140,52,https:\/\/secondarysuites.calgary.ca,10
448,55 SADDLELAKE PL NE,55 SADDLELAKE PL NE,SADDLE RIDGE,2013\/03\/29,2013\/03\/28,BP2012-11129,182,https:\/\/secondarysuites.calgary.ca,03
449,55 SKYVIEW SHORES GD NE,55 SKYVIEW SHORES GD NE,SKYVIEW RANCH,2011\/12\/14,2011\/11\/25,BP2011-06187,82,https:\/\/secondarysuites.calgary.ca,03
450,55G ELGIN MEADOWS RD SE,55G ELGIN MEADOWS RD SE,MCKENZIE TOWNE,2012\/09\/25,2012\/09\/24,BP2012-02129,443,https:\/\/secondarysuites.calgary.ca,12
451,56 CEDARGROVE RD SW,56 CEDARGROVE RD SW,CEDARBRAE,2015\/10\/09,2015\/10\/09,BP2011-09332,439,https:\/\/secondarysuites.calgary.ca,11
452,56 WINSTON DR SW,56 WINSTON DR SW,WESTGATE,2016\/06\/06,2016\/05\/20,BP2015-13323,527,https:\/\/secondarysuites.calgary.ca,08
453,5607 THORNDALE PL NW,5607 THORNDALE PL NW,THORNCLIFFE,2010\/07\/05,2010\/06\/29,BP2010-01074,14,https:\/\/secondarysuites.calgary.ca,04
454,5611 THORNDALE PL NW,5611 THORNDALE PL NW,THORNCLIFFE,2011\/06\/10,2011\/06\/08,BP2010-11888,27,https:\/\/secondarysuites.calgary.ca,04
455,56G HONG KONG RD SW,56G HONG KONG RD SW,CFB - CURRIE,2014\/05\/01,2014\/04\/16,BP2012-03042,144,https:\/\/secondarysuites.calgary.ca,11
456,57G TOMMY PRINCE RD SW,57G TOMMY PRINCE RD SW,CFB - CURRIE,2012\/02\/14,2012\/02\/13,BP2011-03166,58,https:\/\/secondarysuites.calgary.ca,11
457,588 PANORA WY NW,588 PANORA WY NW,PANORAMA HILLS,2012\/11\/06,2012\/11\/06,BP2012-05953,148,https:\/\/secondarysuites.calgary.ca,03
458,58R KINLEA CO NW,58 KINLEA CO NW,KINCORA,2013\/03\/19,2013\/03\/18,BP2012-09909,173,https:\/\/secondarysuites.calgary.ca,02
459,58R WALDEN CO SE,58 WALDEN CO SE,WALDEN,2013\/07\/16,2013\/07\/15,BP2013-02529,276,https:\/\/secondarysuites.calgary.ca,14
460,59 CAMBRIAN DR NW,59 CAMBRIAN DR NW,ROSEMONT,2016\/02\/17,2016\/02\/04,BP2015-14147,476,https:\/\/secondarysuites.calgary.ca,04
461,59 EVANSBOROUGH CR NW,59 EVANSBOROUGH CR NW,EVANSTON,2015\/05\/05,2015\/04\/10,BP2015-01016,429,https:\/\/secondarysuites.calgary.ca,02
462,59 SADDLELAKE PL NE,59 SADDLELAKE PL NE,SADDLE RIDGE,2012\/12\/11,2012\/12\/10,BP2012-11098,181,https:\/\/secondarysuites.calgary.ca,03
463,595R TARALAKE WY NE,595 TARALAKE WY NE,TARADALE,2015\/04\/08,2015\/03\/11,BP2013-07919,286,https:\/\/secondarysuites.calgary.ca,03
464,59G HONG KONG RD SW,59G HONG KONG RD SW,CFB - CURRIE,2013\/12\/06,2013\/12\/04,BP2012-15735,219,https:\/\/secondarysuites.calgary.ca,11
465,60 EVERHOLLOW ST SW,60 EVERHOLLOW ST SW,EVERGREEN,2016\/02\/17,2015\/11\/24,BP2015-12502,482,https:\/\/secondarysuites.calgary.ca,13
466,60 MAHOGANY RI SE,60 MAHOGANY RI SE,MAHOGANY,2015\/07\/06,2015\/07\/06,BP2015-03712,404,https:\/\/secondarysuites.calgary.ca,12
467,601 11 AV NE,601 11 AV NE,RENFREW,2015\/10\/09,2015\/10\/09,BP2013-10992,447,https:\/\/secondarysuites.calgary.ca,04
468,605 31 AV NE,605 31 AV NE,WINSTON HEIGHTS\/MOUNTVIEW,2012\/11\/30,2012\/11\/28,BP2011-11164,89,https:\/\/secondarysuites.calgary.ca,09
