"Date","Vehicle ID","Vehicle Type","KM Trvld"
"2016/04/24 00:00:00","RE9402 (11154-PC)","Sweeper","15"
"2016/05/05 00:00:00","RE9402 (11154-PC)","Sweeper","1"
"2016/05/04 00:00:00","RE9404 (11121-PC)","Sweeper","1"
"2016/04/28 00:00:00","RE9418 (11140-PC)","Sweeper","62"
"2016/04/05 00:00:00","RE9418 (11140-PC)","Sweeper","102"
"2016/04/22 00:00:00","RE9418 (11140-PC)","Sweeper","69"
"2016/05/03 00:00:00","RE9418 (11140-PC)","Sweeper","41"
"2016/05/01 00:00:00","RE9418 (11140-PC)","Sweeper","83"
"2016/04/17 00:00:00","RE9418 (11140-PC)","Sweeper","63"
"2016/05/09 00:00:00","RE9418 (11140-PC)","Sweeper","35"
"2016/04/03 00:00:00","RE9400 (11137-PC)","Sweeper","48"
"2016/04/17 00:00:00","RE9400 (11137-PC)","Sweeper","32"
"2016/04/12 00:00:00","RE9410 (11132-PC)","Sweeper","4"
"2016/04/27 00:00:00","RE9410 (11132-PC)","Sweeper","129"
"2016/05/01 00:00:00","RE9410 (11132-PC)","Sweeper","90"
"2016/05/07 00:00:00","RE9410 (11132-PC)","Sweeper","18"
"2016/04/22 00:00:00","RE9420 (11128-PC)","Sweeper","42"
"2016/05/04 00:00:00","RE9420 (11128-PC)","Sweeper","15"
"2016/04/26 00:00:00","RE9412 (11133-PC)","Sweeper","6"
"2016/04/25 00:00:00","RE9419 (11129-PC)","Sweeper","68"
"2016/04/07 00:00:00","RE9419 (11129-PC)","Sweeper","26"
"2016/04/18 00:00:00","RE9419 (11129-PC)","Sweeper","25"
"2016/04/27 00:00:00","RE9419 (11129-PC)","Sweeper","19"
"2016/04/04 00:00:00","RE9419 (11129-PC)","Sweeper","30"
"2016/04/11 00:00:00","RE9419 (11129-PC)","Sweeper","25"
"2016/04/03 00:00:00","HB13670","Sweeper","140"
"2016/04/28 00:00:00","HB13670","Sweeper","132"
"2016/04/14 00:00:00","HB13670","Sweeper","165"
"2016/04/06 00:00:00","HB13670","Sweeper","76"
"2016/04/18 00:00:00","HB13670","Sweeper","89"
"2016/04/16 00:00:00","HB13670","Sweeper","72"
"2016/05/01 00:00:00","HB13670","Sweeper","71"
