Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Número de Plazas
38;439637;4473651,64;23/06/2014;01  CENTRO;01-01 PALACIO;SAN FRANCISCO, CARRERA, DE;1;24
39;439844;4473646,66;23/06/2014;01  CENTRO;01-01 PALACIO;CEBADA, PLAZA, DE LA;16;27
40;440207,51;4473923,52;23/06/2014;01  CENTRO;01-02 EMBAJADORES;CONDE DE ROMANONES, CALLE, DEL;2;24
41;440689,3;4473748,28;23/06/2014;01  CENTRO;01-02 EMBAJADORES;ATOCHA, CALLE, DE;54;21
42;440759,67;4473581,4;23/06/2014;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;32;24
43;440391,04;4473511,6;23/06/2014;01  CENTRO;01-02 EMBAJADORES;LAVAPIES, CALLE, DE;36;24
44;440274,63;4473482,26;23/06/2014;01  CENTRO;01-02 EMBAJADORES;MESON DE PAREDES, CALLE, DEL;35;21
45;439659,26;4473169,54;23/06/2014;01  CENTRO;01-02 EMBAJADORES;PUERTA DE TOLEDO, GLORIETA, DE LA;1;21
46;439997,73;4473006,31;23/06/2014;02  ARGANZUELA;02-02 ACACIAS;RIBERA DE CURTIDORES, CALLE, DE LA;28;24
47;440368,37;4472905,07;23/06/2014;02  ARGANZUELA;02-02 ACACIAS;EMBAJADORES, GLORIETA, DE;7 B;24
48;440424,7;4472996,09;23/06/2014;01  CENTRO;01-02 EMBAJADORES;MIGUEL SERVET, CALLE, DE;25;24
49;440667,66;4473061,04;23/06/2014;01  CENTRO;01-02 EMBAJADORES;ATOCHA, RONDA, DE;36;24
50;441180,67;4473307,92;23/06/2014;01  CENTRO;01-02 EMBAJADORES;SANTA ISABEL, CALLE, DE;57;24
51;441148,47;4473243,04;23/06/2014;01  CENTRO;01-02 EMBAJADORES;EMPERADOR CARLOS V, PLAZA, DEL;7;27
52;440544,34;4474002,06;23/06/2014;01  CENTRO;01-03 CORTES;SANTA ANA, PLAZA, DE;9;24
53;440543,46;4473309,62;23/06/2014;01  CENTRO;01-02 EMBAJADORES;VALENCIA, CALLE, DE;4;24
54;440592,35;4475345,44;23/06/2014;01  CENTRO;01-04 JUSTICIA;BARCELO, CALLE, DE;7;21
55;440455,56;4475063,26;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;SAN ILDEFONSO, PLAZA, DE;8;24
56;440335,43;4474443,96;23/06/2014;01  CENTRO;01-06 SOL;CARMEN, PLAZA, DEL;1;27
57;439536,86;4475688,34;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;SANTA CRUZ DE MARCENADO, CALLE, DE;24;27
58;440792,31;4474859,33;23/06/2014;01  CENTRO;01-04 JUSTICIA;AUGUSTO FIGUEROA, CALLE, DE;33;27
59;440271,27;4475221,1;23/06/2014;01  CENTRO;01-05 UNIVERSIDAD;ESPIRITU SANTO, CALLE, DEL;30;21
60;441616,3;4474541,2;23/06/2014;03  RETIRO;03-05 JERÓNIMOS;ALFONSO XII, CALLE, DE;S/N;27
61;442720,29;4474753,26;23/06/2014;03  RETIRO;03-04 IBIZA;O'DONNELL, CALLE, DE;30;24
62;443105,21;4474725,61;23/06/2014;03  RETIRO;03-04 IBIZA;O'DONNELL, CALLE, DE;S/N;27
63;443101,23;4474356,23;23/06/2014;03  RETIRO;03-04 IBIZA;IBIZA, CALLE, DE;64;24
65;441513,54;4474236,11;23/06/2014;03  RETIRO;03-05 JERÓNIMOS;ANTONIO MAURA, CALLE, DE;15;24
67;441190,08;4473587,45;23/06/2014;01  CENTRO;01-03 CORTES;ALMADEN, CALLE, DE;28;24
68;441358,92;4473802,81;23/06/2014;03  RETIRO;03-05 JERÓNIMOS;ESPALTER, CALLE, DE;1;21
69;441551,54;4473499,36;23/06/2014;03  RETIRO;03-05 JERÓNIMOS;ALFONSO XII, CALLE, DE;54;27
