"id_local";"id_distrito_local";"desc_distrito_local";"id_barrio_local";"desc_barrio_local";"cod_barrio_local";"id_seccion_censal_local";"desc_seccion_censal_local";"coordenada_x_local";"coordenada_y_local";"id_tipo_acceso_local";"desc_tipo_acceso_local";"id_situacion_local";"desc_situacion_local";"id_vial_edificio";"clase_vial_edificio";"desc_vial_edificio";"id_ndp_edificio";"id_clase_ndp_edificio";"nom_edificio";"num_edificio";"cal_edificio";"secuencial_local_PC";"id_vial_acceso";"clase_vial_acceso";"desc_vial_acceso";"id_ndp_acceso";"id_clase_ndp_acceso";"nom_acceso";"num_acceso";"cal_acceso";"coordenada_x_agrupacion";"coordenada_y_agrup";"id_agrupacion";"nombre_agrupacion";"id_tipo_agrup";"desc_tipo_agrup";"id_planta_agrupado";"id_local_agrupado";"rotulo"
"10002267";"1";"CENTRO              ";"106";"SOL                 ";"";"";"119";"440532,54";"4474401,63";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"ESPOZ Y MINA                                      ";"11007492";"1";"NUM";"3";"  ";"20";"";"CALLE                   ";"ESPOZ Y MINA                                      ";"11007492";"1";"NUM";"3";"  ";"";"";"";"";"";"";"";"";"BIO CENTRO"
"10002269";"1";"CENTRO              ";"105";"UNIVERSIDAD         ";"";"";"112";"0";"0";"";"Agrupado";"1";"Abierto";"";"PLAZA                   ";"MOSTENSES                                         ";"11006826";"1";"NUM";"1";"  ";"0";"";"PLAZA                   ";"MOSTENSES                                         ";"11006826";"1";"NUM";"1";"  ";"439962,13";"4475204";"99000061";"MERCADO MUNICIPAL LOS MOSTENSES";"12";"Mercado Municipal";"1";"BC05";"VIC-FRUIT / BANCAS 5-6 Y 11 AL 13"
"10002292";"1";"CENTRO              ";"102";"EMBAJADORES         ";"";"";"32";"440119,04";"4473352,97";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"RIBERA DE CURTIDORES                              ";"20103686";"1";"NUM";"37";"  ";"30";"";"CALLE                   ";"RIBERA DE CURTIDORES                              ";"20103686";"1";"NUM";"37";"  ";"";"";"";"";"";"";"";"";"CASA EL VALENCIANO"
"10002311";"1";"CENTRO              ";"101";"PALACIO             ";"";"";"11";"439865,33";"4473927,89";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"CAVA ALTA                                         ";"11000672";"1";"NUM";"32";"  ";"30";"";"CALLE                   ";"CAVA BAJA                                         ";"20003976";"1";"NUM";"41";"  ";"";"";"";"";"";"";"";"";"DE JUAN"
"10002315";"1";"CENTRO              ";"104";"JUSTICIA            ";"";"";"76";"440823,09";"4475089,03";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"AUGUSTO FIGUEROA                                  ";"11004498";"1";"NUM";"16";"  ";"20";"";"CALLE                   ";"AUGUSTO FIGUEROA                                  ";"11004498";"1";"NUM";"16";"  ";"";"";"";"";"";"";"";"";"SUITE JC"
"10002316";"1";"CENTRO              ";"104";"JUSTICIA            ";"";"";"76";"440864,52";"4475060,65";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"SAN BARTOLOME                                     ";"11004526";"1";"NUM";"23";"  ";"20";"";"CALLE                   ";"SAN BARTOLOME                                     ";"11004526";"1";"NUM";"23";"  ";"";"";"";"";"";"";"";"";"ZAPATERIAS F.ESTELLES"
"10001210";"1";"CENTRO              ";"106";"SOL                 ";"";"";"117";"440101,08";"4474697,83";"";"Puerta Calle";"1";"Abierto";"";"TRAVESIA                ";"TRUJILLOS                                         ";"20006580";"1";"NUM";"2";"  ";"40";"";"CALLE                   ";"TRUJILLOS                                         ";"20006578";"1";"NUM";"4";"  ";"";"";"";"";"";"";"";"";"CASA PARRONDO SIDRERIA-RESTAURANTE"
"10001215";"1";"CENTRO              ";"104";"JUSTICIA            ";"";"";"75";"440640,86";"4474987,48";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"FUENCARRAL                                        ";"11004406";"1";"NUM";"16";" A";"10";"";"CALLE                   ";"FUENCARRAL                                        ";"11004406";"1";"NUM";"16";" A";"";"";"";"";"";"";"";"";"LOVE COLORS SL"
"10001216";"1";"CENTRO              ";"103";"CORTES              ";"";"";"64";"441062,84";"4474040,71";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"HUERTAS                                           ";"11003461";"1";"NUM";"66";"  ";"20";"";"CALLE                   ";"HUERTAS                                           ";"11003461";"1";"NUM";"66";"  ";"";"";"";"";"";"";"";"";"TABERNA MACEIRAS"
"10001246";"1";"CENTRO              ";"105";"UNIVERSIDAD         ";"";"";"101";"440511,88";"4475389,75";"";"Puerta Calle";"1";"Abierto";"";"CALLE                   ";"ESPIRITU SANTO                                    ";"11006118";"1";"NUM";"6";"  ";"10";"";"CALLE                   ";"ESPIRITU SANTO                                    ";"11006118";"1";"NUM";"6";"  ";"";"";"";"";"";"";"";"";"PASTELERIA DIADEMA"
