SECNAME,ROADCLASS,Shape_Leng,YEAR_VOL,VOLUME
52STNE1,Arterial Street,512.214716,2015,31000
52STNE10,Arterial Street,461.8805946,2015,21000
52STNE11,Industrial Arterial,690.7501057,2015,27000
52STNE12,Industrial Arterial,1089.930175,2015,28000
52STNE13,Industrial Arterial,1049.677427,2015,24000
52STNE14,Industrial Arterial,1116.911948,2015,29000
52STNE2,Arterial Street,1100.627804,2015,27000
52STNE3,Arterial Street,1087.742798,2015,33000
52STNE4,Arterial Street,580.560549,2015,38000
52STNE5,Arterial Street,479.0399804,2015,33000
52STNE6,Arterial Street,1010.121074,2015,29000
52STNE7,Arterial Street,938.8839469,2015,25000
52STNE8,Arterial Street,817.4608529,2015,24000
52STNE9,Arterial Street,2089.65802,2015,23000
52STNEA,Arterial Street,819.7286015,2015,6000
52STSE1,Industrial Arterial,808.2293001,2015,34000
52STSE10,Arterial Street,643.5772553,2015,35000
52STSE12,Arterial Street,817.1843109,2015,26000
52STSE13,Arterial Street,774.2972335,2015,19000
52STSE14,Arterial Street,975.0363599,2015,25000
52STSE15,Arterial Street,627.2254017,2015,27000
52STSE3,Industrial Arterial,799.6262716,2015,26000
52STSE4,Industrial Arterial,1615.675923,2015,24000
52STSE9,Industrial Arterial,2150.29527,2015,29000
53STW0,Arterial Street,172.5636978,2015,14000
53STW1,Arterial Street,403.6594091,2015,13000
53STW2,Arterial Street,965.8626679,2015,13000
57AVNE_1,Industrial Arterial,598.9493128,2015,4000
58AVS1,Arterial Street,716.0437143,2015,11000
58AVS2A,Urban Boulevard,538.2350806,2015,18000
58AVS2B,Arterial Street,1065.204345,2015,24000
58AVS3,Arterial Street,806.7303872,2015,19000
5AVENW1,Collector,848.7726548,2015,8000
5AVNE6,Collector,292.3018404,2015,7000
5AVNE7,Collector,229.7247416,2015,8000
5AVS1A,Arterial Street,243.27037,2015,8000
5AVS10,Arterial Street,175.5196598,2015,24000
5AVS11,Arterial Street,170.7469601,2015,22000
5AVS12,Arterial Street,172.5702739,2015,20000
5AVS13,Arterial Street,173.1181796,2015,32000
5AVS14,Arterial Street,391.5384044,2015,42000
5AVS15A,Arterial Street,101.1695927,2015,9000
5AVS15B,Arterial Street,171.7025835,2015,26000
5AVS2,Arterial Street,174.3152543,2015,18000
5AVS3,Arterial Street,172.1532069,2015,20000
5AVS4,Arterial Street,174.7466746,2015,20000
